date,meme,index,benchmarked_index,twitter_id
1/8/17,George Bush's Poncho,1.0,0.1,822501259164995584
1/8/17,BBC Dad,1.0,0.1,840208087118151681
1/8/17,Trump and Pope Francis,0.1,0.1,867295516362776576
1/8/17,#GetOutChallenge,8.0,2.0,838459143161851906
1/8/17,Tyrese Crying,0.1,0.1,926294316183584768
1/8/17,Covfefe,0.1,0.1,869897666741755905
1/8/17,Monkey Haircut,0.1,0.1,913097760903172097
1/8/17,United Airlines Passenger Removal,0.1,0.1,851602092468731906
1/8/17,Game of Thrones,8.0,2.0,892008967160958976
1/8/17,What in Tarnation,2.0,1.0,819377307018231808
1/8/17,Student Athlete,0.1,0.1,840618151117111296
1/8/17,Ben Swolo,1.0,0.1,941587160783659008
1/8/17,Cash Me Outside,7.0,7.0,809084339887734790
1/15/17,Salt Bae,100.0,32.0,817901590141161472
1/15/17,The Ting Goes,1.0,0.1,904208633386369024
1/15/17,Obama & Biden Bromance,100.0,19.0,820045837891870720
1/15/17,Sad Melania,4.0,0.1,823345977029378048
1/15/17,Trump Holding Executive Orders,2.0,0.1,826314938872246273
1/15/17,The Oscars Snafu,1.0,0.1,836084689752494080
1/15/17,Crying Northwestern Kid,12.0,0.1,843242225463046145
1/15/17,Babadook,4.0,0.1,871144014484873217
1/15/17,The Snapchat Hot Dog,2.0,1.0,884621965209858048
1/15/17,Distracted Boyfriend,1.0,0.1,899935787227262976
1/15/17,Joel Osteen Hiding from Harvey Victims,0.1,0.1,902324163339096064
1/15/17,Elf on the Shelf Rhymes,0.1,0.1,908300412884865024
1/15/17,First of All,1.0,0.1,919670609910685703
1/15/17,#BowWowChallenge,0.1,0.1,862294898501931008
1/15/17,Crash Bandicoot Woah,9.0,1.0,892798447362953216
1/15/17,"Brother, May I have some Oats",50.0,3.0,785681417078345728
1/15/17,Side-eyeing Michelle Obama,80.0,10.0,822526328394158081
1/15/17,Dancing Winnie the Pooh,4.0,0.1,825977359643840513
1/15/17,Tiny Trump,4.0,0.1,832627609234075650
1/15/17,RompHim,0.1,0.1,864550584006971397
1/15/17,Shooting Stars,1.0,0.1,841420725747507201
1/15/17,Cracking Open a Cold One with the Boys,0.1,0.1,869692034319237120
1/15/17,Roll Safe,1.0,0.1,826511751151771649
1/15/17,White Guy Blinking,0.1,0.1,832939284948779010
1/15/17,Meryl Streep Singing,5.0,1.0,843514431590031366
1/15/17,"Kendrick Lamar ""DAMN"" Cover",8.0,0.1,851798361841840129
1/15/17,Kellyanne Conway on the Couch,0.1,0.1,836402961030881280
1/15/17,What Redbone Sounds Like,1.0,0.1,863645128929361920
1/15/17,Mocking Spongebob,0.1,0.1,861717771859755008
1/15/17,The Future Liberals Want,0.1,0.1,837316461077069824
1/15/17,Expanding Brain,0.1,0.1,831329672558424064
1/15/17,The Floor Is,1.0,0.1,724263091383484416
1/15/17,Kendall Jenner's Pepsi Ad,2.0,0.1,849404357485481984
1/15/17,Fidget Spinners,1.0,0.1,865601318483746817
1/15/17,Pennywise Dancing,2.0,0.1,908437160407257088
1/15/17,"Homeboy's gonna, like, get it",0.1,0.1,916988637866229761
1/15/17,Trump's Glowing Orb,0.1,0.1,866390578258464770
1/15/17,George Bush's Poncho,37.0,2.0,822501259164995584
1/15/17,BBC Dad,1.0,0.1,840208087118151681
1/15/17,Trump and Pope Francis,1.0,0.1,867295516362776576
1/15/17,#GetOutChallenge,9.0,2.0,838459143161851906
1/15/17,Tyrese Crying,0.1,0.1,926294316183584768
1/15/17,Covfefe,0.1,0.1,869897666741755905
1/15/17,Monkey Haircut,1.0,0.1,913097760903172097
1/15/17,United Airlines Passenger Removal,0.1,0.1,851602092468731906
1/15/17,Game of Thrones,8.0,2.0,892008967160958976
1/15/17,What in Tarnation,6.0,4.0,819377307018231808
1/15/17,Student Athlete,0.1,0.1,840618151117111296
1/15/17,Ben Swolo,0.1,0.1,941587160783659008
1/15/17,Cash Me Outside,40.0,40.0,809084339887734790
1/22/17,Salt Bae,70.0,23.0,817901590141161472
1/22/17,The Ting Goes,1.0,0.1,904208633386369024
1/22/17,Obama & Biden Bromance,47.0,9.0,820045837891870720
1/22/17,Sad Melania,100.0,10.0,823345977029378048
1/22/17,Trump Holding Executive Orders,31.0,2.0,826314938872246273
1/22/17,The Oscars Snafu,1.0,0.1,836084689752494080
1/22/17,Crying Northwestern Kid,9.0,0.1,843242225463046145
1/22/17,Babadook,3.0,0.1,871144014484873217
1/22/17,The Snapchat Hot Dog,2.0,1.0,884621965209858048
1/22/17,Distracted Boyfriend,0.1,0.1,899935787227262976
1/22/17,Joel Osteen Hiding from Harvey Victims,1.0,0.1,902324163339096064
1/22/17,Elf on the Shelf Rhymes,0.1,0.1,908300412884865024
1/22/17,First of All,0.1,0.1,919670609910685703
1/22/17,#BowWowChallenge,0.1,0.1,862294898501931008
1/22/17,Crash Bandicoot Woah,13.0,1.0,892798447362953216
1/22/17,"Brother, May I have some Oats",22.0,1.0,785681417078345728
1/22/17,Side-eyeing Michelle Obama,100.0,12.0,822526328394158081
1/22/17,Dancing Winnie the Pooh,1.0,0.1,825977359643840513
1/22/17,Tiny Trump,4.0,0.1,832627609234075650
1/22/17,RompHim,0.1,0.1,864550584006971397
1/22/17,Shooting Stars,1.0,0.1,841420725747507201
1/22/17,Cracking Open a Cold One with the Boys,0.1,0.1,869692034319237120
1/22/17,Roll Safe,0.1,0.1,826511751151771649
1/22/17,White Guy Blinking,0.1,0.1,832939284948779010
1/22/17,Meryl Streep Singing,2.0,0.1,843514431590031366
1/22/17,"Kendrick Lamar ""DAMN"" Cover",5.0,0.1,851798361841840129
1/22/17,Kellyanne Conway on the Couch,0.1,0.1,836402961030881280
1/22/17,What Redbone Sounds Like,2.0,0.1,863645128929361920
1/22/17,Mocking Spongebob,0.1,0.1,861717771859755008
1/22/17,The Future Liberals Want,0.1,0.1,837316461077069824
1/22/17,Expanding Brain,0.1,0.1,831329672558424064
1/22/17,The Floor Is,2.0,0.1,724263091383484416
1/22/17,Kendall Jenner's Pepsi Ad,4.0,1.0,849404357485481984
1/22/17,Fidget Spinners,1.0,0.1,865601318483746817
